Rank,Song,Artist,Year
1,White Christmas,Bing Crosby,1942.0
2,Hey Jude,The Beatles,1968.0
3,Every Breath You Take,The Police,1983.0
4,Mack the Knife,Bobby Darin,1959.0
5,Rock Around the Clock,Bill Haley & his Comets,1955.0
6,I Want to Hold Your Hand,The Beatles,1964.0
7,(I Can't Get No) Satisfaction,The Rolling Stones,1965.0
8,The Twist,Chubby Checker,1960.0
9,(Everything I Do) I Do it For You,Bryan Adams,1991.0
10,Bridge Over Troubled Water,Simon & Garfunkel,1970.0
11,When Doves Cry,Prince,1984.0
12,Call Me,Blondie,1980.0
13,Bette Davis Eyes,Kim Carnes,1981.0
14,I Will Always Love You,Whitney Houston,1993.0
15,Over the Rainbow,Judy Garland,1939.0
16,American Pie,Don McLean,1972.0
17,Flashdance... What a Feeling,Irene Cara,1983.0
18,The Way We Were,Barbra Streisand,1974.0
19,I Heard it Through the Grapevine,Marvin Gaye,1969.0
20,You've Lost That Lovin' Feelin',The Righteous Brothers,1965.0
21,Nothing Compares 2 U,Sinead O'Connor,1990.0
22,Endless Love,Diana Ross & Lionel Richie,1981.0
23,Yeah!,Usher,2004.0
24,Let's Get it On,Marvin Gaye,1973.0
25,That's What Friends Are For,Dionne Warwick & Friends,1986.0
26,You Light Up My Life,Debbie Boone,1977.0
27,(Sittin' On) the Dock of the Bay,Otis Redding,1968.0
28,Joy to the World,Three Dog Night,1971.0
29,Heartbreak Hotel,Elvis Presley,1956.0
30,Theme From 'A Summer Place',Percy Faith,1960.0
31,Aquarius/Let The Sunshine In,Fifth Dimension,1969.0
32,I Will Survive,Gloria Gaynor,1979.0
33,It's Too Late,Carole King,1971.0
34,Respect,Aretha Franklin,1967.0
35,Sugar Sugar,Archies,1969.0
36,Stayin' Alive,Bee Gees,1978.0
37,Maggie May,Rod Stewart,1971.0
38,My Heart Will Go On,Celine Dion,1998.0
39,Eye of the Tiger,Survivor,1982.0
40,End of the Road,Boyz II Men,1992.0
41,Another One Bites the Dust,Queen,1980.0
42,Billie Jean,Michael Jackson,1983.0
43,Let's Stay Together,Al Green,1972.0
44,Battle of New Orleans,Johnny Horton,1959.0
45,"Oh, Pretty Woman",Roy Orbison,1964.0
46,Hound Dog,Elvis Presley,1956.0
47,I Love Rock 'n' Roll,Joan Jett & The Blackhearts,1982.0
48,Smooth,Rob Thomas & Santana,1999.0
49,Good Vibrations,The Beach Boys,1966.0
50,Physical,Olivia Newton-John,1981.0
51,Light My Fire,The Doors,1967.0
52,Low,Flo-Rida & T-Pain,2008.0
53,Hey Ya!,OutKast,2003.0
54,Let it Be,The Beatles,1970.0
55,Don't Be Cruel,Elvis Presley,1956.0
56,Hotel California,Eagles,1977.0
57,We Belong Together,Mariah Carey,2005.0
58,Le Freak,Chic,1979.0
59,Raindrops Keep Falling On My Head,B J Thomas,1970.0
60,How High the Moon,Les Paul & Mary Ford,1951.0
61,My Girl,The Temptations,1965.0
62,I Can't Stop Loving You,Ray Charles,1962.0
63,Killing Me Softly With His Song,Roberta Flack,1973.0
64,Mona Lisa,Nat King Cole,1950.0
65,In the Mood,Glenn Miller,1940.0
66,She Loves You,The Beatles,1964.0
67,The Letter,The Box Tops,1967.0
68,Mister Sandman,The Chordettes,1954.0
69,Careless Whisper,George Michael,1985.0
70,What's Love Got to Do With It?,Tina Turner,1984.0
71,I'm a Believer,The Monkees,1967.0
72,Wooly Bully,"Sam The Sham & The
Pharaohs",1965.0
73,Theme From 'Shaft',Isaac Hayes,1971.0
74,Hot Stuff,Donna Summer,1979.0
75,Centerfold,J Geils Band,1982.0
76,Honky Tonk Woman,The Rolling Stones,1969.0
77,I'll Be There,The Jackson 5,1970.0
78,Gangsta's Paradise,Coolio,1995.0
79,Yesterday,The Beatles,1965.0
80,My Sharona,The Knack,1979.0
81,Tennessee Waltz,Patti Page,1950.0
82,Reach Out (I'll Be There),The Four Tops,1966.0
83,California Dreamin',The Mamas & The Papas,1966.0
84,Jailhouse Rock,Elvis Presley,1957.0
85,Irreplaceable,Beyonce,2007.0
86,Dancing in the Street,Martha & The Vandellas,1964.0
87,Rolling In The Deep,Adele,2011.0
88,Tie a Yellow Ribbon 'round the Old Oak Tree,Tony Orlando & Dawn,1973.0
89,Stand By Me,Ben E King,1961.0
90,Sentimental Journey,Les Brown & Doris Day,1945.0
91,The First Time Ever I Saw Your Face,Roberta Flack,1972.0
92,Louie Louie,Kingsmen,1964.0
93,Another Brick in the Wall (part 2),Pink Floyd,1980.0
94,(Just Like) Starting Over,John Lennon,1981.0
95,Night Fever,Bee Gees,1978.0
96,"To Sir, With Love",Lulu,1967.0
97,You're So Vain,Carly Simon,1973.0
98,Be My Baby,The Ronettes,1963.0
99,Celebration,Kool & The Gang,1981.0
100,(They Long to Be) Close to You,Carpenters,1970.0
101,Begin the Beguine,Artie Shaw,1938.0
102,I Still Haven't Found What I'm Looking For,U2,1987.0
103,I Want You Back,The Jackson 5,1970.0
104,Arthur's Theme (Best That You Can Do),Christopher Cross,1981.0
105,Boulevard of Broken Dreams,Green Day,2005.0
106,With Or Without You,U2,1987.0
107,Tonight's the Night (Gonna Be Alright),Rod Stewart,1976.0
108,Are You Lonesome Tonight?,Elvis Presley,1961.0
109,Upside Down,Diana Ross,1980.0
110,Dancing Queen,Abba,1977.0
111,Sweet Child O' Mine,Guns n' Roses,1988.0
112,Where Did Our Love Go,The Supremes,1964.0
113,Unchained Melody,The Righteous Brothers,1965.0
114,"Rudolph, the Red-Nosed Reindeer",Gene Autry,1949.0
115,Take My Bre,ath Aw,
116,I'll Make Lo,ve to Y,
117,Love Will Ke,ep Us,
118,When a Man,Loves,
119,Walk Like an,Egypt,
120,Crazy in Lov,e,
121,Strangers in,the Nig,
122,You Belong t,o Me,
124,"Say You, Say",Me,
125,We Are the,World,
126,Johnny B Go,ode,
127,Love Theme,From ',
128,Shadow Dan,cing,
133,House of the,Rising,
136,I Can't Help,Myself,
137,Kiss From a,Rose,
139,Ballad of the,Green,
144,Need You To,night,
145,Like a Rollin,g Stone,
147,One Sweet D,ay,
150,Monday Mon,day,
152,How You Re,mind M,
153,Silly Love So,ngs,
156,"Goodnight, I",rene,
157,Just My Ima,ginatio,
158,The Sounds o,f Silen,
160,Me & Bobby,McGe,
162,What's Goin,g On?,
163,Suspicious M,inds,
164,Ode To Billie,Joe,
165,Wind Beneat,h My,
166,The Boy is M,ine,
167,Mr Tambour,ine Ma,
169,Green Onion,s,
170,Mrs Robinso,n,
171,How Deep is Y,our Lo,
174,Pennies From,Heaven,
176,Midnight Train,to Ge,
178,Tossing & Tur,ning,
180,Born to Be Wil,d,
182,I Just Wanna B,e You,
186,Because You L,oved M,
187,Summer in the,City,
191,(Ghost) Riders,in the,
192,The Loco-Moti,on,
193,Play That Funk,y Mus,
194,Bohemian Rha,psody,
195,Little Things M,ean a,
198,Up Where We,Belong,
201,Stop! in the Na,me of,
202,Sweet Home Al,abam,
203,Another Day in,Para,
205,Lady Marmala,de (Vo,
208,Under the Brid,ge,
212,What a Fool Be,lieves,
215,Brown Eyed Gi,rl,
217,Build Me Up B,utterc,
218,We Found Lov,e,
219,Tears in Heave,n,
225,Livin' La Vida,Loca,
226,Best of My Love,The Emotions,1977.0
227,Runaway,Del Shannon,1961.0
228,Alone Again (Naturally),Gilbert O'Sullivan,1972.0
229,Can't Help Falling in Love,UB40,1993.0
230,My Sweet Lord,George Harrison,1971.0
231,Runaround Sue,Dion,1961.0
232,Swinging On a Star,Bing Crosby,1944.0
233,Gold Digger,Kanye West & Jamie Foxx,2005.0
234,Happy Together,The Turtles,1967.0
235,Losing My Religion,REM,1991.0
236,Heart of Gold,Neil Young,1972.0
237,Stardust,Artie Shaw,1941.0
238,Will You Love Me Tomorrow,The Shirelles,1961.0
239,You Are the Sunshine of My Life,Stevie Wonder,1973.0
240,You Were Meant for Me,Jewel,1997.0
241,Take On Me,A-Ha,1985.0
242,Hollaback Girl,Gwen Stefani,2005.0
243,God Bless America,Kate Smith,1939.0
244,I Swear,All-4-One,1994.0
245,Sunshine of Your Love,Cream,1968.0
246,Firework,Katy Perry,2011.0
247,Groovin',The Young Rascals,1967.0
248,Smells Like Teen Spirit,Nirvana,1992.0
249,Big Girls Don't Cry,Fergie,2007.0
250,Jack & Diane,John Cougar Mellencamp,1982.0
251,Addicted to Love,Robert Palmer,1986.0
252,The Last Dance,Donna Summer,1978.0
253,Georgia On My Mind,Ray Charles,1960.0
254,Money For Nothing,Dire Straits,1985.0
255,Jump,Van Halen,1984.0
256,Vaya Con Dios (may God Be With You),Les Paul & Mary Ford,1953.0
257,You'll Never Know,Dick Haymes,1943.0
258,That'll Be the Day,Buddy Holly,1957.0
259,Girls Just Wanna Have Fun,Cyndi Lauper,1984.0
260,Wheel of Fortune,Kay Starr,1952.0
261,When You Wish Upon a Star,Cliff Edwards (Ukelele Ike),1940.0
262,Don't Fence Me In,"Bing Crosby & The Andrews
Sisters",1944.0
263,"Turn! Turn! Turn! (To Everything There is a
Season)",The Byrds,1965.0
264,Volare,Domenico Modugno,1958.0
265,Sweet Dreams (Are Made of This),The Eurythmics,1983.0
266,Whole Lotta Love,Led Zeppelin,1970.0
267,You've Got a Friend,James Taylor,1971.0
268,Penny Lane,The Beatles,1967.0
269,People Got to Be Free,The Young Rascals,1968.0
270,Nature Boy,Nat King Cole,1948.0
271,Sexyback,Justin Timberlake,2006.0
272,Crying,Roy Orbison,1961.0
273,Single Ladies (Put A Ring On It),Beyonce,2009.0
274,Bad Girls,Donna Summer,1979.0
275,Too Close,Next,1998.0
276,I Got You Babe,Sonny & Cher,1965.0
277,We've Only Just Begun,Carpenters,1970.0
278,Sh-Boom (Life Could Be a Dream),The Crew-Cuts,1954.0
279,Shining Star,"Earth, Wind & Fire",1975.0
280,Kansas City,Wilbert Harrison,1959.0
281,Like a Prayer,Madonna,1989.0
282,Cheek to Cheek,Fred Astaire,1935.0
283,Papa Was a Rolling Stone,The Temptations,1972.0
284,Promiscuous,Nelly Furtado & Timbaland,2006.0
285,Love Shack,The B52s,1989.0
286,Funkytown,Lipps Inc,1980.0
287,Crazy,Patsy Cline,1961.0
288,Philadelphia Freedom,Elton John,1975.0
289,Temperature,Sean Paul,2006.0
290,Somebody That I Used to Know,Gotye & Kimbra,2012.0
291,All I Have to Do is Dream,The Everly Brothers,1958.0
292,Jessie's Girl,Rick Springfield,1981.0
293,Rhinestone Cowboy,Glen Campbell,1975.0
294,Blue Suede Shoes,Carl Perkins,1956.0
295,Ebony & Ivory,"Paul McCartney & Stevie
Wonder",1982.0
296,I'll Never Smile Again,"Tommy Dorsey & Frank
Sinatra",1940.0
297,Keep On Loving You,REO Speedwagon,1981.0
298,Since U Been Gone,Kelly Clarkson,2005.0
299,The Way You Look Tonight,Fred Astaire,1936.0
300,Crazy Little Thing Called Love,Queen,1980.0
301,The Great Pretender,The Platters,1956.0
302,Brown Sugar,The Rolling Stones,1971.0
303,Que sera sera (Whatever will be will be),Doris Day,1956.0
304,No One,Alicia Keys,2008.0
305,Bad Day,Daniel Powter,2006.0
306,Boom Boom Pow,The Black Eyed Peas,2009.0
307,Party Rock Anthem,LMFAO,2011.0
308,Because of You,Tony Bennett,1951.0
309,Chattanooga Choo Choo,Glenn Miller,1941.0
310,A Whiter Shade of Pale,Procol Harum,1967.0
311,Love Me Tender,Elvis Presley,1956.0
312,Higher Love,Steve Winwood,1986.0
313,Footloose,Kenny Loggins,1984.0
314,Blurred Lines,"Robin Thicke, T.I. & Pharrell
Williams",2013.0
315,I Just Called to Say I Love You,Stevie Wonder,1984.0
316,Come Together,The Beatles,1969.0
317,It's Now Or Never,Elvis Presley,1960.0
318,Under the Boardwalk,The Drifters,1964.0
319,Don't You Want Me,The Human League,1982.0
320,You Can't Hurry Love,The Supremes,1966.0
321,Fame,Irene Cara,1980.0
322,Fallin',Alicia Keys,2001.0
323,Poker Face,Lady GaGa,2009.0
324,Bad Romance,Lady GaGa,2010.0
325,Ruby Tuesday,The Rolling Stones,1967.0
326,All Night Long (All Night),Lionel Richie,1983.0
327,Baby Got Back,Sir Mix-a-Lot,1992.0
328,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,1957.0
329,Frenesi,Artie Shaw,1940.0
330,December 1963 (Oh What a Night),The Four Seasons,1976.0
331,Bad Moon Rising,"Creedence Clearwater
Revival",1969.0
332,Abracadabra,Steve Miller Band,1982.0
333,I Gotta Feeling,The Black Eyed Peas,2009.0
334,"The Song From Moulin Rouge (Where Is Your
Heart)",Percy Faith,1953.0
335,Waiting For a,Girl Li,
336,Everybody L,oves Som,
337,I Can't Go Fo,r That (,
338,Buttons & Bo,ws,
339,It's All in the,Game,
341,Dance to the,Music,
342,Candle in the,Wind '9,7.0
345,I'll Take You,There,
348,Just the Way,You Ar,
349,Spirit in the S,ky,
350,Vision of Lov,e,
352,Till The End,of Time,
355,Oh My Papa,(O Mein,
356,Pistol Packin',Mama,
357,Gonna Make,You Sw,
359,I Need You N,ow,
361,Jumpin' Jack,Flash,
362,Against All O,dds (Ta,
364,Goodbye Yell,ow Bric,
365,Rhapsody in,Blue,
366,Bennie & the,Jets,
367,Call Me May,be,
368,You Really G,ot Me,
369,God Bless the,Child,
371,"Bad, Bad Ler",oy Brow,
372,I Can't Get N,ext to Y,
373,The Power of,Love,
375,Only The Lon,ely (Kn,
376,We Are Fami,ly,
378,Brand New K,ey,
379,I've Heard Th,at Song,
380,Stay (I Misse,d You),
381,Do Ya Think,I'm Sex,
383,This Ole Hou,se,
384,Please Mr Po,stman,
385,Can't Help Fa,lling in,
388,(I've Had) the,Time o,
389,I Don't Want,to Miss,
390,Down Hearte,d Blues,
392,Blueberry Hi,ll,
393,Ain't No Sun,shine,
395,Blaze of Glor,y,
400,Cathy's Clow,n,
401,Minnie the M,oocher,
402,Love Is Blue,(L'Amo,
404,The Boys of S,ummer,
405,The Tide is H,igh,
406,She Drives M,e Crazy,
409,Save the Best,For Las,
410,These Boots,Are Mad,
412,A Woman in,Love,
413,We Can Wor,k it Out,
415,Locked Out,Of Heave,
416,Do That to M,e One M,
417,That's the W,ay Love,
418,A Hard Day's,Night,
419,I Believe I Ca,n Fly,
420,Karma Cham,eleon,
421,One O'Clock,Jump,
426,Streets of Phi,ladelphi,
427,West End Gi,rls,
428,Leader of the,Pack,
429,T For Texas (,Blue Yo,
430,Mama Told,Me Not t,
432,Mercy Mercy,Me (Th,
433,Livin' On a P,rayer,
435,50 Ways to L,eave Yo,
437,I Can See Cle,arly No,
438,We Are the C,hampio,
439,(I've Got a G,al In) Ka,
441,Big Girls Don,'t Cry,
442,How Do You,Mend a,
443,I Got You (I,Feel Goo,
444,Don't Let the,Stars G,
445,The Girl Fro,m Ipane,
446,(Sexual) Heal,ing,
447,Tears of a Cl,own,
448,We Will Rock,You,
451,Chapel of Lov,e,
455,Take The 'A',Train,
456,Crimson & Cl,over,
457,Crocodile Roc,k,
458,Make Love to,Me,
459,Nothing's Gon,na Stop Us Now,
461,The Christma,s Song (Chestnuts Roasting On,
462,Un-Break My,Heart,
464,I'll Be Missing,You,
465,Drops of Jupi,ter (Tell Me),
466,There goes my,baby,
468,If (They Made,Me a King),
469,The Prisoner',s Song,
471,Do Wah Didd,y Diddy,
473,A Boy Named,Sue,
474,Roll Over Bee,thoven,
475,Sweet Georgia,Brown,
478,(You Keep Me,) Hangin' On,
479,This Diamond,Ring,
482,You're Beauti,ful,
484,Moonlight Ser,enade,
486,Peg o' My Hea,rt,
487,This Land is Y,our Land,
488,Stranger On t,he Shore,
489,Rum & Coca-,Cola,
490,"Hit the Road,",Jack,
492,Crazy For Yo,u,
493,I Want to Kno,w What Love Is,
494,"Bye Bye, Blac",kbird,
497,One Bad Appl,e,
498,Kiss & Say Go,odbye,
499,For What It's,"Worth (Stop, Hey What's That",
500,The Long & W,inding Road,
501,Baby One Mo,re Time,
502,Stairway to H,eaven,
503,How Do I Liv,e?,
504,"Hello, I Love","You, Won't",
505,Truly Madly,Deeply,
506,Great Balls o,f Fire,
507,King of the R,oad,
508,I Wanna Dan,ce With Som,
510,"Help Me, Rho",nda,
511,Rags to Riche,s,
513,Say My Nam,e,
514,Nobody Does,it Better,
515,Paperback W,riter,
516,Don't Worry,Be Happy,
517,I Fall to Piece,s,
519,You're Still t,he One,
520,Stormy Weat,her (Keeps R,
521,Horse With N,o Name,
522,American Wo,man,
523,Chattanoogie,Shoe-Shine,
524,Pick Up the P,ieces,
525,Everybody W,ants to Rule,
530,(You're My),Soul & Inspi,
531,I Only Have,Eyes For Yo,
532,Wichita Line,man,
533,Hanging by a,Moment,
534,Spinning Wh,eel,
537,Don't Stop 'T,il You Get E,
538,Empire State,Of Mind,
539,Do You Love,Me?,
541,You're the O,ne That I W,
542,Sweet Soul M,usic,
543,Hey There De,lilah,
544,A Whole New,World (Ala,
545,Somethin' St,upid,
546,Knock Three,Times,
548,The Wandere,r,
549,Dancing in th,e Dark,
550,It's Still Rock,'n' Roll to,
551,Boogie Oogie,Oogie,
552,Can You Feel,the Love To,
553,Harper Valle,y PTA,
554,Seasons in th,e Sun,
555,Come On-a M,y House,
559,Drop it Like It,'s Hot,
562,All My Lovin',(You're Never Go,
565,Save the Last,Dance For Me,
566,Make it With,You,
568,I Shot the Sher,iff,
570,"Sing, Sing, Sin",g (With A Swing),
573,Walk This Wa,y,
574,A-Tisket A-Ta,sket,
575,Let Me Love Y,ou,
576,"I Can Dream,",Can't I?,
580,In the Year 25,25 (Exordium & T,
584,Love In This C,lub,
586,How Much is T,hat Doggy in the,
587,Daydream Bel,iever,
589,Boogie Woogie,Bugle Boy,
592,Total Eclipse o,f the Heart,
593,Cat's in the Cr,adle,
595,Lady Marmala,de (Voulez-Vous,
600,We Got The B,eat,
601,On the Atchiso,"n, Topeka & the",
602,Always On My,Mind,
605,Just the Way Y,ou Are,
607,Can't Buy Me,Love,
609,Won't Get Foo,led Again,
610,Happy Days Ar,e Here,
611,Third Man The,me,
612,Your Cheatin',Heart,
615,Time After Tim,e,
616,That Lucky Old,Sun (,
618,Three Coins in,the Fo,
620,You Ain't Seen,Nothi,
622,Knock On Woo,d,
623,One of These Ni,ghts,
625,Doo Wop (That,Thing,
626,Whoomp! (The,re it Is,
628,I'm Walking Be,hind,
629,We Didn't Start,the F,
632,Winchester Cat,hedra,
633,Greatest Love o,f All,
639,TSOP (The Sou,nd of,
641,This Guy's in L,ove W,
642,Till I Waltz Aga,in Wi,
643,Why Do Fools F,all in,
644,Nights in White,Satin,
645,That's the Way,(I Lik,
647,(Put Another N,ickel I,
648,Colors of the W,ind,
649,Morning Train,(Nine,
650,I Went to Your,Wedd,
652,"Gypsies, Tramp",s & T,
655,Born in the US,A,
656,Here Without Y,ou,
659,You Always Hu,rt the,
660,Eight Days a W,eek,
661,What Goes Aro,und C,
662,Kung Fu Fighti,ng,
665,Ain't Misbehavin,',
667,Last Train to Cl,arksville,
670,Hard to Say I'm,Sorry,
672,Love to Love Yo,u Baby,
679,Groove is in the,Heart,
680,Gimme Some Lo,vin',
682,Escape (The Pin,a Colada Song),
685,Afternoon Deligh,t,
688,Cherry Pink & A,pple Blossom White,
690,How to Save a Li,fe,
692,All You Need is,Love,
693,U Can't Touch T,his,
695,Where is the Lov,e?,
697,The Love You Sa,ve,
699,This Used to Be,My Playground,
700,Living For the C,ity,
703,Riders On the St,orm,
704,Some Enchanted,Evening,
707,More Than Wor,ds,
708,Time of the Seas,on,
709,Mrs Brown You',ve Got a Lovely Daughter,
710,If You Leave Me,Now,
711,Can't Get Enoug,"h of Your Love, Babe",
712,Na Na Hey Hey (,Kiss Him Goodbye),
719,Ac-cent-tchu-ate,the Positive,
722,"Take Me Home,",Country Roa,
723,Smoke! Smoke!,Smoke! (Tha,
724,In the Summerti,me,
725,The Tracks of M,y Tears,
727,Love is a Many,Splendoured,
731,The Morning Af,ter,
732,The Loco-Motio,n,
733,Get Off of My C,loud,
735,Thank You (Fal,ettinme be M,
737,You Belong Wit,h Me,
738,Stormy Weather,(Keeps Rain,
739,Ain't No Mount,ain High Eno,
740,Auf Wiederseh',n Sweetheart,
741,Beauty & the Be,ast,
745,Sweet Caroline (,Good Times,
746,Wedding Bell Bl,ues,
752,Makin' Whoope,e,
755,Smoke On the W,ater,
759,Brandy (You're,A Fine Girl),
762,Ball of Confusio,n (That's Wh,
763,Sunshine Super,man,
765,Kiss You All Ov,er,
771,Singing The Blu,es,
773,I Honestly Love,You,
774,"Brother, Can Yo",u Spare a Di,
775,Lookin' Ou,t My Back Do,
779,Moonlight,Cocktail,
782,As Time Go,es By,
783,My Eyes Ad,ored You,
784,Strawberry,Fields Foreve,
785,Some of Th,ese Days,
786,I Think I L,ove You,
787,Judy in Dis,guise (With Gl,
788,All Along th,e Watchtower,
789,A Thousand,Miles,
791,Red Red W,ine,
792,Live & Let,Die,
793,Come On E,ileen,
794,Right Back,Where We St,
795,Brother Lo,uie,
796,Ol' Man Ri,ver,
797,Band On th,e Run,
799,Green Rive,r,
800,Got to Give,it Up,
801,Behind Clos,ed Doors,
802,Don't Go Br,eaking My H,
803,I'm Lookin,g Over a Four,
804,Mr Big Stuf,f,
808,Go Your O,wn Way,
809,Big Bad Joh,n,
810,Wake Me U,p Before You,
812,Wayward W,ind,
814,Spanish Ha,rlem,
815,Wicked Ga,me,
817,Papa Don't,Preach,
818,Somebody t,o Love,
820,Manana (Is,Soon Enough,
821,Puttin' on t,he Ritz,
822,One More T,ry,
823,I'll Walk Al,one,
827,We Built Th,is City,
828,19th Nervou,s Breakdown,
829,Working My W,ay Back to,
832,Get Down Toni,ght,
833,On Bended Kne,e,
834,Magic Carpet R,ide,
835,Only You (And,You Alone,
836,A String of Pea,rls,
837,A Tree in the M,eadow,
838,So Much in Lov,e,
839,Every Little Th,ing She Do,
842,Three Times a,Lady,
845,Don't Leave Me,This Way,
846,Rock the Casba,h,
849,Kiss On My Lis,t,
850,Give Me Everyt,hing,
851,Have You Ever,Really Lov,
852,Love Letters in,the Sand,
857,(Let Me Be You,r) Teddy B,
859,Papa's Got a Br,and New B,
865,Don't You (For,get About,
868,You Make Me F,eel Brand,
869,The Glow-Wor,m,
870,You Don't Brin,g Me Flowe,
871,Summertime Bl,ues,
873,"Sunday, Monda",y or Alway,
874,Wake Up Little,Susie,
880,Up Around the,Bend,
885,After You've,Gone,
886,I Wanna Lov,e You,
887,Da Doo Ron,Ron (Whe,
888,If You Don't,Know Me,
889,Green Tamb,ourine,
891,If I Didn't Ca,re,
892,St George &,the Drago,
893,Why Don't Y,ou Believe,
894,How Will I K,now,
897,Never Gonna,Give You,
898,Before The N,ext Teard,
899,Running Sca,red,
900,Let's Hear it,For the Bo,
902,Walk On the,Wild Side,
903,Memories Ar,e Made of,
905,Stuck On Yo,u,
907,Feel Like Ma,king Love,
908,Stars & Strip,es Forever,
909,Besame Muc,ho,
910,Let Me Call,You Sweet,
912,Indian Reser,vation (Th,
914,You Make M,e Feel Lik,
916,Me & Mrs Jo,nes,
917,Bitter Sweet,Symphony,
918,Uncle Albert,(Admiral,
919,More Than a,Feeling,
920,My Boyfrien,d's Back,
922,He'll Have to,Go,
927,"Cold, Cold H",eart,
928,Nothin' on Y,ou,
929,The End of t,he World,
930,Caldonia Boo,gie (What,
931,I Kissed A G,irl,
932,Incense & Pe,ppermints,
933,12th Street R,ag,
934,West End Bl,ues,
935,The Way Yo,u Move,
936,Smoke Gets i,n Your Ey,
938,Long Cool,Woman in a,
940,(Your Love,Keeps Liftin,
941,He's a Rebe,l,
944,Don't Let t,he Sun Go D,
945,The Sweet,Escape,
946,Return to S,ender,
947,Here in My,Heart,
948,Wabash Ca,nnonball,
949,Ain't That,a Shame,
950,Travellin' B,and,
951,I'm Your B,oogie Man,
952,I Write the,Songs,
955,Will It Go,Round In Cir,
956,Purple Haz,e,
957,Rock Your,Baby,
960,Check On I,t,
961,Breaking U,p is Hard to,
963,Prisoner of,Love,
964,Wild Wild,West,
965,Walk Like,a Man,
966,Ain't No M,ountain High,
967,I Will Follo,w Him,
969,Yellow Ros,e of Texas,
970,That Old B,lack Magic,
971,I'm So Lon,esome I Coul,
972,Up Up & A,way,
973,Baby Come,Back,
974,Let it Snow,! Let it Snow,
975,Pon De Rep,lay,
976,Because I L,ove You (Th,
977,Sleepy Lag,oon,
978,Baker Stree,t,
980,You Don't,Have to Be a,
981,"Leaving, on",a Jet Plane,
982,Glory of Lo,ve,
983,Theme Fro,m 'Greatest,
984,Shake You,Down,
985,Ole Butter,milk Sky,
986,I Can't Get,Started,
988,Hot Child I,n The City,
989,Man in the,Mirror,
990,Queen of H,earts,
991,Let's Groove,"Earth, Wind & Fire",1981.0
992,Change the World,Eric Clapton,1996.0
993,You make Me Wanna,Usher,1998.0
994,Someday,Mariah Carey,1991.0
995,Eve of Destruction,Barry McGuire,1965.0
996,One of Us,Joan Osborne,1996.0
997,Honky Tonk,Bill Doggett,1956.0
998,Be Bop a Lula,Gene Vincent,1956.0
999,Two Hearts,Phil Collins,1989.0
1000,Paper Planes,MIA,2008.0
